seq,file_name,title_ja,source,width,height,status,date_year,date_month,date_day
75,075-mudai-1900-c,075. 〔無題〕明治三十三年,,,,,1900,,
76,076-mudai-undated-a,076. 〔無題〕,,,,,,,
77,077-mudai-1910-0731,077. 〔無題〕明治四十三年七月三十一日,,,,,1910,1910-07,1910-07-31
78,078-mudai-1910-0920,078. 〔無題〕明治四十三年九月二十日,,,,,1910,1910-09,1910-09-20
79,079-mudai-1910-0922,079. 〔無題〕明治四十三年九月二十二日,,,,,1910,1910-09,1910-09-22
80,080-mudai-1910-0925,080. 〔無題〕明治四十三年九月二十五日,,,,,1910,1910-09,1910-09-25
81,081-mudai-1910-0929,081. 〔無題〕明治四十三年九月二十九日,,,,,1910,1910-09,1910-09-29
82,082-mudai-1910-1001,082. 〔無題〕明治四十三年十月一日,,,,,1910,1910-10,1910-10-01
83,083-mudai-1910-1002,083. 〔無題〕明治四十三年十月二日,,,,,1910,1910-10,1910-10-02
84,084-mudai-1910-1003,084. 〔無題〕明治四十三年十月三日,,,,,1910,1910-10,1910-10-03
85,085-mudai-1910-1004,085. 〔無題〕明治四十三年十月四日,,,,,1910,1910-10,1910-10-04
86,086-mudai-1910-1006,086. 〔無題〕明治四十三年十月六日,,,,,1910,1910-10,1910-10-06
87,087-mudai-1910-1007,087. 〔無題〕明治四十三年十月七日,,,,,1910,1910-10,1910-10-07
88,088-mudai-1910-1008,088. 〔無題〕明治四十三年十月八日,,,,,1910,1910-10,1910-10-08
89,089-mudai-1910-1010,089. 〔無題〕明治四十三年十月十日,,,,,1910,1910-10,1910-10-10
90,090-mudai-1910-1011,090. 〔無題〕明治四十三年十月十一日,,,,,1910,1910-10,1910-10-11
91,091-mudai-1910-1016,091. 〔無題〕明治四十三年十月十六日,,,,,1910,1910-10,1910-10-16
92,092-mudai-1910-1024,092. 〔無題〕明治四十三年十月二十四日,,,,,1910,1910-10,1910-10-24
93,093-mudai-1910-1027,093. 〔無題〕明治四十三年十月二十七日,,,,,1910,1910-10,1910-10-27
94,094-shunjitsu-gusei-01,094. 春日偶成〔十首・其一〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
95,095-shunjitsu-gusei-02,095. 春日偶成〔十首・其二〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
96,096-shunjitsu-gusei-03,096. 春日偶成〔十首・其三〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
97,097-shunjitsu-gusei-04,097. 春日偶成〔十首・其四〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
98,098-shunjitsu-gusei-05,098. 春日偶成〔十首・其五〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
99,099-shunjitsu-gusei-06,099. 春日偶成〔十首・其六〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
100,100-shunjitsu-gusei-07,100. 春日偶成〔十首・其七〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
101,101-shunjitsu-gusei-08,101. 春日偶成〔十首・其八〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
102,102-shunjitsu-gusei-09,102. 春日偶成〔十首・其九〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
103,103-shunjitsu-gusei-10,103. 春日偶成〔十首・其十〕明治四十五年五月二十四日,,,,,1912,1912-05,1912-05-24
104,104-mudai-1912-06-a,104. 〔無題〕明治四十五年六月,,,,,1912,1912-06,
105,105-mudai-1912-06-b,105. 〔無題〕明治四十五年六月,,,,,1912,1912-06,
106,106-mudai-1912-06-c,106. 〔無題〕明治四十五年六月,,,,,1912,1912-06,
107,107-mudai-1912-07,107. 〔無題〕明治四十五年七月,,,,,1912,1912-07,
108,108-yokoyama-ga-a,108. 〔酬横山画伯惠画〕明治四十五年七月,,,,,1912,1912-07,
109,109-yokoyama-ga-b,109. 酬横山画伯惠画明治四十五年七月,,,,,1912,1912-07,
110,110-hyakuhai-tanzaku-jo,110. 〔明治百俳家短册帖序〕明治四十五年七月,,,,,1912,1912-07,
111,111-myouunji-kanbaku,111. 妙雲寺観瀑大正元年九月十七日,,,,,1912,1912-09,1912-09-17
112,112-jiga-1912-11-a,112. 〔題自画〕大正元年十一月,,,,,1912,1912-11,
113,113-jiga-1912-11-b,113. 〔題自画〕大正元年十一月,,,,,1912,1912-11,
114,114-mudai-undated-b,114. 〔無題〕,,,,,,,
115,115-daiga-chiku,115. 題画竹,,,,,,,
116,116-gusei,116. 偶成,,,,,,,
117,117-giga-chiku-kasan,117. 戯画竹加賛,,,,,,,
118,118-jiga-1914,118. 〔題自画〕大正三年,,,,,1914,,
119,119-daiga-a,119. 題画,,,,,,,
120,120-daiga-b,120. 題画,,,,,,,
121,121-tokkendou-jiju-shi,121. 得建堂先生自寿詩及七寿杯、次韵以祝大正三年,,,,,1914,,
122,122-kankyo-gusei-rinpu,122. 閑居偶成、似臨風詞兄大正三年,,,,,1914,,
123,123-yushigin-engetsu,123. 游子吟、書似円月詞兄大正三年二月,,,,,1914,1914-02,
124,124-jiga-a,124. 題自画,,,,,,,
125,125-jiga-1914-11,125. 〔題自画〕大正三年十一月,,,,,1914,1914-11,
126,126-jiga-b,126. 題自画,,,,,,,
127,127-daiga-1915,127. 題画大正四年,,,,,1915,,
128,128-nishikawa-issotei-ga,128. 〔題西川一草亭画〕大正四年九月,,,,,1915,1915-09,
129,129-jiga-1915-11,129. 〔題自画〕大正四年十一月,,,,,1915,1915-11,
130,130-yuki-somei-ga,130. 題結城素明画,,,,,,,
131,131-jiga-1916-01,131. 題自画大正五年一月,,,,,1916,1916-01,
132,132-kankyo-gusei-1916-spring,132. 閑居偶成大正五年春,,,,,1916,,
133,133-jiga-1916-spring,133. 題自画大正五年春,,,,,1916,,
134,134-mudai-1916-0814-yoru,134. 〔無題〕大正五年八月十四日夜,,,,,1916,1916-08,1916-08-14
135,135-mudai-1916-0815-a,135. 〔無題〕大正五年八月十五日,,,,,1916,1916-08,1916-08-15
